snake_x,snake_y,food_x,food_y,direction_snake,direction_food,move_made
240,235,155,255,down,down,d
280,235,155,275,down,down,d
300,235,155,295,right,up,a
260,235,155,275,right,up,a
240,255,155,255,left,up,s
240,275,155,235,left,up,s
240,315,155,215,left,up,s
240,0,155,195,left,up,s
240,330,155,175,down,right,w
240,290,175,175,down,right,w
240,250,195,175,down,right,w
240,230,215,175,down,right,w
240,190,235,175,down,right,w
100,75,175,175,right,right,d
140,75,195,175,right,right,d
160,75,215,175,right,right,s
160,115,235,175,right,right,s
160,155,255,175,right,right,s
140,155,275,175,down,down,a
100,155,275,195,down,down,a
60,155,275,215,down,down,a
60,175,275,235,left,left,s
60,215,255,235,left,left,s
60,255,235,235,left,left,s
60,275,215,235,left,left,s
60,315,195,235,down,left,d
100,315,175,235,down,left,d
120,315,155,235,down,up,d
160,315,155,215,down,up,d
200,315,155,195,down,up,d
220,315,155,175,right,down,w
220,275,155,195,right,down,w
220,235,155,215,right,down,w
220,215,155,235,right,down,w
200,195,155,255,up,down,a
160,195,155,275,up,down,a
160,215,155,295,left,up,s
160,255,155,275,left,up,s
